"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"28,839",244.585,161.803,0.066030
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"332,830",79.258,67.512,0.702000
3,LANCET,0140-6736,"233,269",53.254,52.665,0.435740
4,CHEMICAL REVIEWS,0009-2665,"174,920",52.613,55.198,0.265650
5,Nature Reviews Materials,2058-8437,"3,218",51.941,51.941,0.015060
6,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"31,312",50.167,54.490,0.054410
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"148,774",47.661,42.464,0.299960
8,Nature Energy,2058-7546,"5,072",46.859,46.870,0.020430
9,NATURE REVIEWS CANCER,1474-175X,"50,407",42.784,50.293,0.079730
10,NATURE REVIEWS IMMUNOLOGY,1474-1733,"39,215",41.982,46.507,0.085360
11,NATURE,0028-0836,"710,766",41.577,44.958,1.355810
12,NATURE REVIEWS GENETICS,1471-0056,"35,680",41.465,44.913,0.094300
13,SCIENCE,0036-8075,"645,132",41.058,40.627,1.127160
14,CHEMICAL SOCIETY REVIEWS,0306-0012,"125,900",40.182,41.270,0.275690
15,NATURE MATERIALS,1476-1122,"92,291",39.235,47.534,0.195000
16,Nature Nanotechnology,1748-3387,"57,369",37.490,45.815,0.170630
17,LANCET ONCOLOGY,1470-2045,"44,961",36.418,33.233,0.136440
18,REVIEWS OF MODERN PHYSICS,0034-6861,"47,289",36.367,38.473,0.054550
19,NATURE BIOTECHNOLOGY,1087-0156,"57,510",35.724,43.271,0.161460
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"43,667",35.612,47.918,0.095540
21,NATURE REVIEWS NEUROSCIENCE,1471-003X,"40,834",32.635,38.691,0.069940
22,NATURE MEDICINE,1078-8956,"75,461",32.621,33.409,0.171980
23,Nature Photonics,1749-4885,"39,331",32.521,38.551,0.128120
24,NATURE REVIEWS MICROBIOLOGY,1740-1526,"26,627",31.851,31.155,0.055490
25,CELL,0092-8674,"230,625",31.398,33.796,0.583260
26,ADVANCES IN PHYSICS,0001-8732,"5,747",30.917,25.690,0.005040
27,Energy & Environmental Science,1754-5692,"71,920",30.067,28.924,0.180320
28,World Psychiatry,2051-5545,"4,055",30.000,23.265,0.010540
28,World Psychiatry,2051-5545,"4,055",30.000,23.265,0.010540
30,LANCET NEUROLOGY,1474-4422,"28,671",27.138,28.048,0.069040
31,NATURE GENETICS,1061-4036,"93,639",27.125,31.154,0.234110
32,NATURE METHODS,1548-7091,"54,686",26.919,41.934,0.243170
33,PSYCHOLOGICAL INQUIRY,1047-840X,"4,063",26.364,18.862,0.003220
